Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Label
2.87,-0.06281984732518844,-0.08567485949916076,-0.5162633700233553,Jumping
2.88,-0.11143744842446901,-0.11920456907931115,-0.5769528130253699,Jumping
2.89,-0.08239137095405956,-0.09974536262654533,-0.6359082719416129,Jumping
2.9,-0.10175542260099919,-0.06486847721504971,-0.6835928343003387,Jumping
2.91,-0.14463296553350832,-0.04002056743690251,-0.6853268183861105,Jumping
2.92,-0.0716028278936218,-0.02804567115827737,-0.2128161550132818,Jumping
2.93,-0.09580789245229634,0.007130586660183988,-0.2266880276994566,Jumping
2.94,-0.2244405212498238,0.08077619877372852,-0.36020480230388885,Jumping
2.95,-0.2638601978168081,0.1378066423006807,-0.20761420275596626,Jumping
2.96,-0.20991748251461914,0.19214273416494218,-0.17068034172902585,Jumping
2.97,-0.20078871530963333,0.26219587739489914,-0.616314251772391,Jumping
2.98,-0.17450893093164382,0.2574059188834491,-0.6657327982168887,Jumping
2.99,0.03413872556413066,0.2136975474664674,-0.5833685541427259,Jumping
3.0,0.17259169483974895,0.16145706245096528,-0.78884566830669,Jumping
3.01,0.29313291634194805,0.10083415004042552,-0.944557439209002,Jumping
3.02,0.2816528000084053,-0.07848992173198581,-1.0451285161837691,Jumping
3.03,0.298250558562925,-0.22563145975559187,-0.94715841533766,Jumping
3.04,0.09928492789062035,-0.3828019734125468,-0.9150797097508806,Jumping
3.05,-0.08273715759061209,-0.5482052282610564,-0.7924003356825222,Jumping
3.06,-0.22056771092043576,-0.6954964524881455,-0.6248974729969616,Jumping
3.07,-0.23004226476197412,-0.6939995904533176,-0.5772129106382358,Jumping
3.08,-0.07575226753225164,-0.6041878683636289,-0.7202665977144133,Jumping
3.09,0.24859559755398697,-0.47695459540323665,-0.8139017383460931,Jumping
3.1,0.4941732668335676,-0.3084079302815882,-0.9729947782156604,Jumping
3.11,0.5927224582510282,-0.13971157895645675,-1.085010150156522,Jumping
3.12,0.5515738485012815,-0.009783954333374069,-1.0347246116691382,Jumping
3.13,0.2928562870327061,0.06446040259410178,-0.8483213224486643,Jumping
3.14,-0.065378668435677,0.10502536373794433,-0.6723219377428218,Jumping
3.15,-0.43198166050863035,0.14409346284695881,-0.5284012586237583,Jumping
3.16,-0.7207135020299621,0.201872337391325,-0.3419372799602825,Jumping
3.17,-0.779497230243886,0.2780626149640774,-0.20946089580731325,Jumping
3.18,-0.6200895907931866,0.39022248723375,-0.01612167024375212,Jumping
3.19,-0.3736820335858798,0.5208985428742468,0.27778863229457623,Jumping
3.2,0.03227147772674717,0.6059053378321368,0.533551284945924,Jumping
3.21,0.47833623887946347,0.5761177833390568,0.6435985849494343,Jumping
3.22,0.7604981343062979,0.4283775005015194,0.7235352513035167,Jumping
3.23,0.9655496097819266,0.12072744648329162,0.8293082805355994,Jumping
3.24,1.0322172733092472,-0.3962887003463483,0.9498201744967428,Jumping
3.25,0.7749520157141923,-1.0077418729532954,0.6962250019526101,Jumping
3.26,0.3627743449436202,-1.4708709865291225,0.01650324033004518,Jumping
3.27,-0.04594545946142679,-1.7073751880319687,-0.8357499378268185,Jumping
3.28,-0.38758265637529005,-1.7702433934947506,-1.746091582857039,Jumping
3.29,-0.4835730266822622,-1.6415132584995307,-2.6000787450996747,Jumping
3.3,-0.19034595888574804,-1.3885435746135746,-2.8762157107588413,Jumping
3.31,0.18725304822957467,-1.1774860277028067,-2.61698508993595,Jumping
3.32,0.31588567702710213,-1.06222765102104,-2.1201986493623153,Jumping
3.33,0.24534520317039354,-0.9320006539909915,-1.6086733440596204,Jumping
3.34,0.007513154549588618,-0.7389054514981614,-1.182980251002631,Jumping
3.35,-0.4018982231285634,-0.4952163122281402,-0.9540943516807472,Jumping
3.36,-0.7525258725927914,-0.24015102149342504,-0.83011448954806,Jumping
3.37,-0.7635910449624712,0.0002450212999743671,-0.7520852056883268,Jumping
3.38,-0.54844259969951,0.2226787196754362,-0.6792578740859091,Jumping
3.39,-0.2365430535291611,0.4226594875284758,-0.5714916301472316,Jumping
3.4,0.10419509812966572,0.5983910904172997,-0.3774588109493617,Jumping
3.41,0.38974570259471464,0.7633452866553607,-0.09395241292566443,Jumping
3.42,0.6027502707110505,0.9227610933645577,0.22856862702789943,Jumping
3.43,0.6922398522508357,1.0447553492030512,0.4791293274219316,Jumping
3.44,0.7333884620005824,1.1239393508454598,0.6392636247350048,Jumping
3.45,0.7833892096460731,1.1580678052395414,0.7677518454906989,Jumping
